Date,Genesis,Matthew,Psalms,Proverbs
1,Gn 1:1-2:25,Mt 1:1-2:12,Sl 1:1-6,Pv 1:1-6
2,Gn 3:1-4:26,Mt 2:13-3:6,Sl 2:1-12,Pv 1:7-9
3,Gn 5:1-7:24,Mt 3:7-4:11,Sl 3:1-8,Pv 1:10-19
4,Gn 8:1-10:32,Mt 4:12-25,Sl 4:1-8,Pv 1:20-23
5,Gn 11:1-13:4,Mt 5:1-26,Sl 5:1-12,Pv 1:24-28
6,Gn 13:5-15:21,Mt 5:27-48,Sl 6:1-10,Pv 1:29-33
7,Gn 16:1-18:15,Mt 6:1-24,Sl 7:1-17,Pv 2:1-5
8,Gn 18:16-19:38,Mt 6:25-7:14,Sl 8:1-9,Pv 2:6-15
9,Gn 20:1-22:24,Mt 7:15-29,Sl 9:1-12,Pv 2:16-22
10,Gn 23:1-24:51,Mt 8:1-17,Sl 9:13-20,Pv 3:1-6
11,Gn 24:52-26:16,Mt 8:18-34,Sl 10:1-15,Pv 3:7-8
12,Gn 26:17-27:46,Mt 9:1-17,Sl 10:16-18,Pv 3:9-10
13,Gn 28:1-29:35,Mt 9:18-38,Sl 11:1-7,Pv 3:11-12
14,Gn 30:1-31:16,Mt 10:1-23,Sl 12:1-8,Pv 3:13-15
15,Gn 31:17-32:12,Mt 10:24-11:6,Sl 13:1-6,Pv 3:16-18
16,Gn 32:13-34:31,Mt 11:7-30,Sl 14:1-7,Pv 3:19-20
17,Gn 35:1-36:43,Mt 12:1-21,Sl 15:1-5,Pv 3:21-26
18,Gn 37:1-38:30,Mt 12:22-45,Sl 16:1-11,Pv 3:27-32
19,Gn 39:1-41:16,Mt 12:46-13:23,Sl 17:1-15,Pv 3:33-35
20,Gn 41:17-42:17,Mt 13:24-46,Sl 18:1-15,Pv 4:1-6
21,Gn 42:18-43:34,Mt 13:47-14:12,Sl 18:16-36,Pv 4:7-10
22,Gn 44:1-45:28,Mt 14:13-36,Sl 18:37-50,Pv 4:11-13
23,Gn 46:1-47:31,Mt 15:1-28,Sl 19:1-14,Pv 4:14-19
24,Gn 48:1-49:33,Mt 15:29-16:12,Sl 20:1-9,Pv 4:20-27
25,Gn 50:1-Ex 2:10,Mt 16:13-17:9,Sl 21:1-13,Pv 5:1-6
26,Ex 2:11-3:22,Mt 17:10-27,Sl 22:1-18,Pv 5:7-14
27,Ex 4:1-5:21,Mt 18:1-20,Sl 22:19-31,Pv 5:15-21
28,Ex 5:22-7:25,Mt 18:21-19:12,Sl 23:1-6,Pv 5:22-23
29,Ex 8:1-9:35,Mt 19:13-30,Sl 24:1-10,Pv 6:1-5
30,Ex 10:1-12:13,Mt 20:1-28,Sl 25:1-15,Pv 6:6-11
31,Ex 12:14-13:16,Mt 20:29-21:22,Sl 25:16-22,Pv 6:12-15
1,Ex 13:17-15:18,Mt 21:23-46,Sl 26:1-12,Pv 6:16-19
2,Ex 15:19-17:7,Mt 22:1-33,Sl 27:1-6,Pv 6:20-26
3,Ex 17:8-19:15,Mt 22:34-23:12,Sl 27:7-14,Pv 6:27-35
4,Ex 19:16-21:21,Mt 23:13-39,Sl 28:1-9,Pv 7:1-5
5,Ex 21:22-23:13,Mt 24:1-28,Sl 29:1-11,Pv 7:6-23
6,Ex 23:14-25:40,Mt 24:29-51,Sl 30:1-12,Pv 7:24-27
7,Ex 26:1-27:21,Mt 25:1-30,Sl 31:1-8,Pv 8:1-11
8,Ex 28:1-43,Mt 25:31-26:13,Sl 31:9-18,Pv 8:12-13
9,Ex 29:1-30:10,Mt 26:14-46,Sl 31:19-24,Pv 8:14-26
10,Ex 30:11-31:18,Mt 26:47-68,Sl 32:1-11,Pv 8:27-32
11,Ex 32:1-33:23,Mt 26:69-27:14,Sl 33:1-11,Pv 8:33-36
12,Ex 34:1-35:9,Mt 27:15-31,Sl 33:12-22,Pv 9:1-6
13,Ex 35:10-36:38,Mt 27:32-66,Sl 34:1-10,Pv 9:7-8
14,Ex 37:1-38:31,Mt 28:1-20,Sl 34:11-22,Pv 9:9-10
15,Ex 39:1-40:38,Mc 1:1-28,Sl 35:1-16,Pv 9:11-12
16,Lv 1:1-3:17,Mc 1:29-2:12,Sl 35:17-28,Pv 9:13-18
17,Lv 4:1-5:19,Mc 2:13-3:6,Sl 36:1-12,Pv 10:1-2
18,Lv 6:1-7:27,Mc 3:7-30,Sl 37:1-11,Pv 10:3-4
19,Lv 7:28-9:6,Mc 3:31-4:25,Sl 37:12-29,Pv 10:5
20,Lv 9:7-10:20,Mc 4:26-5:20,Sl 37:30-40,Pv 10:6-7
21,Lv 11:1-12:8,Mc 5:21-43,Sl 38:1-22,Pv 10:8-9
22,Lv 13:1-59,Mc 6:1-29,Sl 39:1-13,Pv 10:10
23,Lv 14:1-57,Mc 6:30-56,Sl 40:1-10,Pv 10:11-12
24,Lv 15:1-16:28,Mc 7:1-23,Sl 40:11-17,Pv 10:13-14
25,Lv 16:29-18:30,Mc 7:24-8:10,Sl 41:1-13,Pv 10:15-16
26,Lv 19:1-20:21,Mc 8:11-38,Sl 42:1-11,Pv 10:17
27,Lv 20:22-22:16,Mc 9:1-29,Sl 43:1-5,Pv 10:18
28,Lv 22:17-23:44,Mc 9:30-10:12,Sl 44:1-8,Pv 10:19
1,Lv 24:1-25:46,Mc 10:13-31,Sl 44:9-26,Pv 10:20-21
2,Lv 25:47-27:13,Mc 10:32-52,Sl 45:1-17,Pv 10:22
3,Lv 27:14-Nm 1:54,Mc 11:1-26,Sl 46:1-11,Pv 10:23
4,Nm 2:1-3:51,Mc 11:27-12:17,Sl 47:1-9,Pv 10:24-25
5,Nm 4:1-5:31,Mc 12:18-37,Sl 48:1-14,Pv 10:26
6,Nm 6:1-7:89,Mc 12:38-13:13,Sl 49:1-20,Pv 10:27-28
7,Nm 8:1-9:23,Mc 13:14-37,Sl 50:1-23,Pv 10:29-30
8,Nm 10:1-11:23,Mc 14:1-21,Sl 51:1-19,Pv 10:31-32
9,Nm 11:24-13:33,Mc 14:22-52,Sl 52:1-9,Pv 11:1-3
10,Nm 14:1-15:16,Mc 14:53-72,Sl 53:1-6,Pv 11:4
11,Nm 15:17-16:40,Mc 15:1-47,Sl 54:1-7,Pv 11:5-6
12,Nm 16:41-18:32,Mc 16:1-20,Sl 55:1-23,Pv 11:7
